вот таблица 

Подраздел	Задача / функция	Реализовано	Примечание
Способы добавить запись	Через быстрые кнопки на главной (только в дневной фазе, 9:30–20:00): «Идея / Мысль / Вопрос / Контакт / На будущее / В работу» — при нажатии соответствующий тег ставится АВТОМАТИЧЕСКИ	Нет	
	Через раздел «Копилка» (доступ из любой точки бота, во всех фазах) — участник сам выбирает тег из того же списка	Нет	
	Из карточки материала Базы знаний — кнопка «Сохранить», тег «на будущее» или «в работу» по умолчанию с возможностью изменить	Нет	
	Из карточки эксперимента дня — кнопка «Сохранить фиксацию», тег «мысль» по умолчанию	Нет	
Финальная система тегов (что с этим делать)	Теги записи (6, финальный список): идея / мысль / вопрос / контакт / на будущее / в работу	Нет	[объединены пункты 5–10]
Источник (откуда взял) — спрашивается ПОСЛЕ создания записи	Источник записи (6, спрашивается после создания): Направление / Урок о важном / Открытый урок / Клуб / Разговор с участником / Своя мысль	Нет	[объединены пункты 11–16]
Форма записи	ВАЖНО: Тег и Источник — это два РАЗНЫХ независимых поля. Пример: Текст = «хочу попробовать круг вопросов с классом» · Тег = «в работу» · Источник = «открытый урок». Разработчикам не смешивать в одно поле	Нет	
	Текст записи — свободный	Нет	
	Одна запись = один источник + один или несколько тегов	Нет	
	Источник по умолчанию НЕ подставляется — участник обязательно выбирает после создания	Нет	
	Привязка к дню смены автоматически	Нет	
Просмотр и фильтрация	Полный список записей с сортировкой по дате	Нет	
	Два независимых фильтра: по тегу и по источнику	Нет	
	Дополнительный фильтр по дню	Нет	
	Поиск по тексту	Нет	
	Доступ из раздела «Я»	Нет	
Экспорт	Кнопка «Экспортировать» — PDF / текстовый файл	Нет	
	Автоматическое включение копилки в финальный PDF профиля	Нет	
	Возможность экспортировать в любой момент по запросу	Нет	
9. Рейтинг и баллы   ·   69 пунктов			
Две линии рейтинга + общий	БАЛЛЫ ОПЫТА — источники: выполнение заданий · активности форума · QR-коды на площадке · фото/пост-подтверждения · подтверждение волонтёром · командные подтверждения	Нет	
	БАЛЛЫ ПУТИ — источники: точки осмысления · ответы на рефлексивные вопросы · содержательные открытые ответы · итоги дня · вопросы к участникам (обмен опытом)	Нет	
	ОБЩИЙ РЕЙТИНГ = «Опыт» + «Путь»	Нет	
	Разрезы рейтинга: общий · рейтинг дня · рейтинг смены · по категориям · по направлениям · по медалям	Нет	
	Отдельные таблицы лидеров: общая · по «Пути» (рефлексия) · по «Опыту» (задания)	Нет	
	МЕДАЛИ могут выдаваться за ОБА типа: «7 дней отвечал на вопросы» (путь), «Собрал 20 записей в копилке» (путь), «Посетил 5 активностей» (опыт), «Помог 10 участникам» (опыт)	Нет	
Три счётчика участника	📍 Путь — баллы за пройденные точки осмысления и рефлексию	Нет	
	⚡ Опыт — баллы за выполненные задания и активности	Нет	
	✦ Идей — количество записей в копилке	Нет	
Уровни	Настройка порогов уровней для «Пути» — отдельно	Нет	
	Настройка порогов уровней для «Опыта» — отдельно	Нет	
	Push участнику при переходе на новый уровень	Нет	
	Отображение уровня в профиле «Я»	Нет	
Формула итогового рейтинга	Итоговый рейтинг = баллы за задания + бонус за регулярность + бонус за разнообразие + медали	Нет	
	Бонус за регулярность: ежедневная активность 6+ дней подряд	Нет	
	Бонус за разнообразие: активность в 4+ номинациях	Нет	
	Все коэффициенты настраиваются в админке	Нет	
Медали — примеры базового набора	«Первый шаг» — выполнил первое задание	Нет	
	«Стабильный участник» — выполнял задания 3 дня подряд	Нет	
	«Форумный марафонец» — активен все 7 дней	Нет	
	«Коммуникатор» — познакомился с 5+ участниками	Нет	
	«Голос форума» — сделал интервью / ролик / пост	Нет	
	«Создатель» — организовал собственную активность	Нет	
	«Командный игрок» — выполнил 3 командных задания	Нет	
	«Спортивный герой» — участвовал в спортивных активностях	Нет	
	«Чемпион» — занял призовое место	Нет	
	«Амбассадор форума» — контент, прошедший модерацию как лучший	Нет	
Отображение медалей	Медали участника в разделе «Я» — отдельный блок	Нет	
	При получении новой медали — push участнику	Нет	
	Все медали в финальном PDF профиля	Нет	
	Раздел «Все медали» — каталог всех возможных медалей со статусами «получена» / «не получена»	Нет	
Таблицы лидеров (рейтинг)	Раздел «Рейтинг» доступен из меню «Я» или отдельной кнопкой	Нет	
	Таблица лидеров дня — список ФИО с баллами за выбранный день	Нет	
	Помимо общей таблицы лидеров — отдельная таблица рейтинга по рефлексии (лидеры по линии «Путь»)	Нет	
	Фильтры: все участники / по направлению / по медалям / по номинациям	Нет	
	Рейтинг по номинациям — отдельные таблицы (спорт, креатив, медиа, полезные знакомства, образование, командность, волонтёрство и др.)	Нет	
	Текущий участник всегда подсвечивается в списке	Нет	
	Возможность скрыть себя из публичного рейтинга (настройка в профиле)	Нет	
Личный итог (PDF)	Страница в боте «Мои результаты» — таблица собственных баллов и медалей	Нет	
	Кнопка «Скачать итог» — формирует PDF: ФИО, направление, баллы, медали, номинации	Нет	
	PDF доступен после окончания смены	Нет	
Роли в системе рейтинга	Участник — выполняет задания, получает баллы и медали, видит рейтинги	Нет	
	Волонтёр — подтверждает участие на конкретных площадках через сканирование QR; видит заявки по своим активностям	Нет	
	Модератор — проверяет фото / ссылки / командные заявки; принимает или отклоняет; видит историю заявок	Нет	
	Администратор — управляет всей системой, назначает модераторов и волонтёров	Нет	
	Организатор — видит аналитику и рейтинги, но не редактирует данные	Нет	
Правила начисления «Пути» за рефлексию (конкретные ставки)	Заполнение проверки состояния (утро / день / вечер): 5 XP за каждую	Нет	
	Ответ на рефлексивный вопрос после блока программы: 5 XP + бонус за содержательность (LLM 1-3 → +0/+3/+5 доп XP, только на v2 аналитики)	Нет	
	Заполнение итогов дня целиком: 15 XP	Нет	
	Заполнение точки А (регистрация Д1): 20 XP разово	Нет	
	Заполнение точки Б (Д7-Д8): 30 XP разово	Нет	
	Ответ на вопрос другого участника (обмен опытом): 5 XP	Нет	
	Заданный вопрос в обмен опытом (после модерации): 3 XP	Нет	
	Ежедневный бонус за завершение ВСЕХ точек дня: 20 XP	Нет	
	Стрик рефлексии (7 дней подряд без пропусков): 50 XP разово	Нет	
	Все ставки настраиваются в админке (раздел «6. Рейтинг · Настройка»)	Нет	
Правила начисления «Опыта» за задания (базовые ставки)	образовательная программа: 20 XP	Нет	
	культурная программа: 15 XP	Нет	
	спорт: 15 XP	Нет	
	полезные знакомства / общение: 20 XP	Нет	
	групповые активности: 25 XP	Нет	
	креатив: 20 XP	Нет	
	медиа / соцсети: 15 XP	Нет	
	волонтёрство: 30 XP	Нет	
	организация активности: 30 XP	Нет	
	полезные выезды: 20 XP	Нет	
	инсайты: 20 XP	Нет	
	Все ставки — базовые, редактируются в форме конкретного задания	Нет	
	Особое задание с медалью — базовая ставка × 2	Нет	
10. Push-уведомления   ·   17 пунктов			
Триггеры точек осмысления	Push в начале временного окна каждой точки	Нет	
	Точка 1 — 08:00, «Доброе утро! 1 минута на проверка состояния»	Нет	
	Точки 2 и 3 — 13:00, один push с двумя задачами	Нет	
	Точка 4 — 16:00, «На каком уроке был?»	Нет	
	Точки 5 и 6 — 18:30, один push с двумя задачами	Нет	
	Точка 7 — 22:00, «Финал дня — оцени и поделись»	Нет	
	Опциональный push 23:00 — «Спокойной ночи»	Нет	
Повторные push	Если точка пропущена в окне — повторный push через 30 минут (один раз, мягче)	Нет	
	Если пользователь отключил уведомления по типу — push не уходит	Нет	
Push программы	За 10–15 минут до начала ключевых блоков программы	Нет	
	Триггер настраивается администратором по типу блока	Нет	
Push транзакционные	При получении ответа на свой вопрос в «Общении»	Нет	
	При смене статуса задания (на проверке / выполнено / не принято)	Нет	
	При получении медали в системе рейтинга	Нет	
	При переходе на новый уровень «Пути» или «Опыта»	Нет	
Проверить по всему разделу	Не используется слово «чек-ин» — везде «проверка состояния»	Нет	
	Не используется слово «нетворкинг» — везде «полезные знакомства / общение»	Нет	
</user_query>
