Подраздел	Задача / функция	Реализовано	Примечание
Финальная система тегов (что с этим делать)	Теги записи (6, финальный список): идея / мысль / вопрос / контакт / на будущее / в работу	Да	[объединены пункты 5–10]
Источник (откуда взял) — спрашивается ПОСЛЕ создания записи	Источник записи (6, спрашивается после создания): Направление / Урок о важном / Открытый урок / Клуб / Разговор с участником / Своя мысль	Да	[объединены пункты 11–16]
Форма записи	ВАЖНО: Тег и Источник — это два РАЗНЫХ независимых поля. Пример: Текст = «хочу попробовать круг вопросов с классом» · Тег = «в работу» · Источник = «открытый урок». Разработчикам не смешивать в одно поле	Да	
	Текст записи — свободный	Да	
	Одна запись = один источник + один или несколько тегов	Да	
	Источник по умолчанию НЕ подставляется — участник обязательно выбирает после создания	Да	
	Привязка к дню смены автоматически	Да	
Просмотр и фильтрация	Полный список записей с сортировкой по дате	Да	
	Два независимых фильтра: по тегу и по источнику	Да	
	Дополнительный фильтр по дню	Да	
	Поиск по тексту	Да	
	Доступ из раздела «Я»	Да	
Экспорт	Кнопка «Экспортировать» — PDF / текстовый файл	Да	
	Автоматическое включение копилки в финальный PDF профиля	Да	
	Возможность экспортировать в любой момент по запросу	Да	
9. Рейтинг и баллы   ·   69 пунктов			
Две линии рейтинга + общий	БАЛЛЫ ОПЫТА — источники: выполнение заданий · активности форума · QR-коды на площадке · фото/пост-подтверждения · подтверждение волонтёром · командные подтверждения	Частично	
	БАЛЛЫ ПУТИ — источники: точки осмысления · ответы на рефлексивные вопросы · содержательные открытые ответы · итоги дня · вопросы к участникам (обмен опытом)	Частично	
	ОБЩИЙ РЕЙТИНГ = «Опыт» + «Путь»	Да	
	Разрезы рейтинга: общий · рейтинг дня · рейтинг смены · по категориям · по направлениям · по медалям	Частично	
	Отдельные таблицы лидеров: общая · по «Пути» (рефлексия) · по «Опыту» (задания)	Да	
	МЕДАЛИ могут выдаваться за ОБА типа: «7 дней отвечал на вопросы» (путь), «Собрал 20 записей в копилке» (путь), «Посетил 5 активностей» (опыт), «Помог 10 участникам» (опыт)	Частично	
Три счётчика участника	📍 Путь — баллы за пройденные точки осмысления и рефлексию	Да	
	⚡ Опыт — баллы за выполненные задания и активности	Да	
	✦ Идей — количество записей в копилке	Да	
Уровни	Настройка порогов уровней для «Пути» — отдельно	Частично	
	Настройка порогов уровней для «Опыта» — отдельно	Частично	
	Push участнику при переходе на новый уровень	Да	
	Отображение уровня в профиле «Я»	Да	
Формула итогового рейтинга	Итоговый рейтинг = баллы за задания + бонус за регулярность + бонус за разнообразие + медали	Да	
	Бонус за регулярность: ежедневная активность 6+ дней подряд	Да	
	Бонус за разнообразие: активность в 4+ номинациях	Да	
	Все коэффициенты настраиваются в админке	Да	
Медали — примеры базового набора	«Первый шаг» — выполнил первое задание	Частично	
	«Стабильный участник» — выполнял задания 3 дня подряд	Частично	
	«Форумный марафонец» — активен все 7 дней	Частично	
	«Коммуникатор» — познакомился с 5+ участниками	Частично	
	«Голос форума» — сделал интервью / ролик / пост	Частично	
	«Создатель» — организовал собственную активность	Частично	
	«Командный игрок» — выполнил 3 командных задания	Частично	
	«Спортивный герой» — участвовал в спортивных активностях	Частично	
	«Чемпион» — занял призовое место	Частично	
	«Амбассадор форума» — контент, прошедший модерацию как лучший	Частично	
Отображение медалей	Медали участника в разделе «Я» — отдельный блок	Да	
	При получении новой медали — push участнику	Да	
	Все медали в финальном PDF профиля	Да	
	Раздел «Все медали» — каталог всех возможных медалей со статусами «получена» / «не получена»	Да	
Таблицы лидеров (рейтинг)	Раздел «Рейтинг» доступен из меню «Я» или отдельной кнопкой	Частично	
	Таблица лидеров дня — список ФИО с баллами за выбранный день	Да	
	Помимо общей таблицы лидеров — отдельная таблица рейтинга по рефлексии (лидеры по линии «Путь»)	Да	
	Фильтры: все участники / по направлению / по медалям / по номинациям	Да	
	Рейтинг по номинациям — отдельные таблицы (спорт, креатив, медиа, полезные знакомства, образование, командность, волонтёрство и др.)	Да	
	Текущий участник всегда подсвечивается в списке	Да	
	Возможность скрыть себя из публичного рейтинга (настройка в профиле)	Да	
Личный итог (PDF)	Страница в боте «Мои результаты» — таблица собственных баллов и медалей	Частично	
	Кнопка «Скачать итог» — формирует PDF: ФИО, направление, баллы, медали, номинации	Да	
	PDF доступен после окончания смены	Да	
Роли в системе рейтинга	Участник — выполняет задания, получает баллы и медали, видит рейтинги	Частично	
	Волонтёр — подтверждает участие на конкретных площадках через сканирование QR; видит заявки по своим активностям	Частично	
	Модератор — проверяет фото / ссылки / командные заявки; принимает или отклоняет; видит историю заявок	Частично	
	Администратор — управляет всей системой, назначает модераторов и волонтёров	Частично	
	Организатор — видит аналитику и рейтинги, но не редактирует данные	Частично	
Правила начисления «Пути» за рефлексию (конкретные ставки)	Заполнение проверки состояния (утро / день / вечер): 5 XP за каждую	Да	
	Ответ на рефлексивный вопрос после блока программы: 5 XP + бонус за содержательность (LLM 1-3 → +0/+3/+5 доп XP, только на v2 аналитики)	Нет	
	Заполнение итогов дня целиком: 15 XP	Да	
	Заполнение точки А (регистрация Д1): 20 XP разово	Частично	
	Заполнение точки Б (Д7-Д8): 30 XP разово	Да	
	Ответ на вопрос другого участника (обмен опытом): 5 XP	Да	
	Заданный вопрос в обмен опытом (после модерации): 3 XP	Да	
	Ежедневный бонус за завершение ВСЕХ точек дня: 20 XP	Да	
	Стрик рефлексии (7 дней подряд без пропусков): 50 XP разово	Да	
	Все ставки настраиваются в админке (раздел «6. Рейтинг · Настройка»)	Да	
Правила начисления «Опыта» за задания (базовые ставки)	образовательная программа: 20 XP	Частично	
	культурная программа: 15 XP	Частично	
	спорт: 15 XP	Частично	
	полезные знакомства / общение: 20 XP	Частично	
	групповые активности: 25 XP	Частично	
	креатив: 20 XP	Частично	
	медиа / соцсети: 15 XP	Частично	
	волонтёрство: 30 XP	Частично	
	организация активности: 30 XP	Частично	
	полезные выезды: 20 XP	Частично	
	инсайты: 20 XP	Частично	
	Все ставки — базовые, редактируются в форме конкретного задания	Частично	
	Особое задание с медалью — базовая ставка × 2	Да	
10. Push-уведомления   ·   17 пунктов			
Триггеры точек осмысления	Push в начале временного окна каждой точки	Да	
	Точка 1 — 08:00, «Доброе утро! 1 минута на проверка состояния»	Да	
	Точки 2 и 3 — 13:00, один push с двумя задачами	Да	
	Точка 4 — 16:00, «На каком уроке был?»	Да	
	Точки 5 и 6 — 18:30, один push с двумя задачами	Да	
	Точка 7 — 22:00, «Финал дня — оцени и поделись»	Да	
	Опциональный push 23:00 — «Спокойной ночи»	Да	
Повторные push	Если точка пропущена в окне — повторный push через 30 минут (один раз, мягче)	Да	
	Если пользователь отключил уведомления по типу — push не уходит	Да	
Push программы	За 10–15 минут до начала ключевых блоков программы	Да	
	Триггер настраивается администратором по типу блока	Да	
Push транзакционные	При получении ответа на свой вопрос в «Общении»	Да	
	При смене статуса задания (на проверке / выполнено / не принято)	Да	
	При получении медали в системе рейтинга	Да	
	При переходе на новый уровень «Пути» или «Опыта»	Да	
Проверить по всему разделу	Не используется слово «чек-ин» — везде «проверка состояния»	Да	
	Не используется слово «нетворкинг» — везде «полезные знакомства / общение»	Да
