Подраздел	Задача / функция	Реализовано	Примечание
	participants.вопрос_к_напр — что хочу понять/взять от направления (в целеполагании Д1). Источник для дашборда лидера направления	Нет
	reflections.выбранная_роль_дня — какую роль выбрал участник для эксперимента сегодня. Заполняется вечером на завтрашний день	Нет
	reflections.эксперимент_результат — что получилось / что не получилось	Нет
	reflections.эксперимент_фиксация — что участник фиксирует из этого опыта	Нет
	program.роль_задания — одна из 6 ролей или NULL	Нет
	club_matches — результаты семантического анализа (Этап 2)	Частично	[код: table exists, Этап 2 pipeline] · [код: forum_clubs + nightly match]
	СМЫСЛОВАЯ РАЗБИВКА: ведущая роль = «кто я сейчас» · выбранная роль дня = «что я исследую сегодня» · роль для развития = «что хочу прокачивать после форума»	Нет
Логи / история админ-действий (обязательный слой)	admin_actions_log — единая таблица логов всех ручных вмешательств	Да	[код: admin_actions_log + JournalTab]
	Поля: id · admin_id · admin_ФИО · действие_тип · раздел · объект_id · старое_значение (JSON) · новое_значение (JSON) · время · IP · комментарий	Нет
	Обязательно логировать: начисление баллов · снятие баллов · подтверждение задания · отклонение · изменение роли участника · изменение вопроса · изменение события · изменение задания · выдача медали вручную · снятие медали · удаление копилки · разблокировка базы знаний	Нет
	Индексы: (admin_id, время) · (объект_id, время) · (действие_тип, время)	Нет
	Просмотр в разделе админ-панели «12. Журнал изменений» + отдельная вкладка «Критичные операции»	Нет
	Retention: минимум 12 месяцев	Нет
Версионность вопросов (обязательно)	questions: id · текст_текущий · версия · обновлён_когда · обновлён_кем	Частично	[код: fork versions, не question_versions table]
	answers: вопрос_id · вопрос_текст_snapshot — текст на момент ответа	Частично	[код: answers.questionTextSnapshot]
	При редактировании — создаётся НОВАЯ версия. Старые ответы сохраняют старую формулировку	Нет
	В админке при редактировании — плашка «⚠ уже собрано N ответов. Будет создана новая версия»	Нет
	Отдельная вкладка «История версий вопроса» в форме редактирования	Частично	[код: QuestionForm versions tab]
</user_query>



























